;date;feature_1_matrix_close_ewma_span_1_days_vs_close_ewma_span_2_days;feature_2_matrix_close_ewma_span_1_days_vs_close_ewma_span_3_days;feature_3_matrix_close_ewma_span_1_days_vs_close_ewma_span_5_days;feature_4_matrix_close_ewma_span_2_days_vs_close_ewma_span_3_days;feature_5_matrix_close_ewma_span_2_days_vs_close_ewma_span_5_days;feature_6_matrix_close_ewma_span_3_days_vs_close_ewma_span_5_days;distance
0;2014-05-05;-0.34727470483630896;-0.6553872488439083;-1.0330514051020145;-0.30918626580387354;-0.688166543841362;-0.38015563040971756;0.11662411611791267
1;2014-11-24;-0.41931006126105785;-0.7490311283618212;-1.1788269504904747;-0.33110943622887135;-0.7627150043845177;-0.4330393858253956;0.16007463190223276
2;2015-01-05;-0.2958541037514806;-0.5413087084889412;-0.974809005856514;-0.24618292227387428;-0.6809695158153772;-0.4358596168458462;0.1317697681466766
3;2015-01-14;-0.39179339073598385;-0.6795892957597971;-0.9987257421016693;-0.2889279508963227;-0.609319657087326;-0.3213200718164444;0.14452214500511662
4;2015-03-04;-0.32706172205507755;-0.6169244181364775;-0.9723776951432228;-0.29081383254379034;-0.6474334746599197;-0.3576597897335887;0.12898242599040957
5;2015-04-02;-0.3705994691699743;-0.6411097943782806;-1.1619850061833858;-0.2715165726840496;-0.7943293079733849;-0.5242361687123775;0.13961884015149925
6;2015-05-26;-0.3591693704947829;-0.6646779831498861;-1.0651368647813797;-0.3066098550334573;-0.7085122168064117;-0.4031384363770485;0.11013465281512777
7;2015-06-05;-0.2883551176637411;-0.5534233059734106;-0.9417068213224411;-0.2658347599208355;-0.6552410777658224;-0.39044427685439587;0.15239151278528262
8;2015-06-15;-0.46196733601391315;-0.7348277140408754;-1.0472671128809452;-0.27412676718086004;-0.5880162119865417;-0.31475224532186985;0.15682860458780026
9;2015-11-13;-0.3804737702012062;-0.6732026115059853;-1.0596401989459991;-0.2938468474894762;-0.6817603949457407;-0.38905676919966936;0.10041673147224407
10;2016-11-04;-0.3507835790514946;-0.6160498596727848;-0.9679053910076618;-0.26620004791766405;-0.6192941684275866;-0.354036595672369;0.12518605731134577
11;2017-07-03;-0.36771539598703384;-0.643051415681839;-1.104123517870903;-0.2763522323220968;-0.7391260005533695;-0.4640561994165182;0.0912133233235787
12;2018-03-28;-0.34051446709781885;-0.6161333527415991;-1.095860730856657;-0.2765606390312314;-0.7579270750284195;-0.4827014170587063;0.10824715834723692
13;2018-08-21;-0.35981370601803064;-0.6224211305379868;-0.9806657209992409;-0.26355572044849396;-0.6230940110981464;-0.36048837937414646;0.11425833152803583
14;2019-08-15;-0.3589956322684884;-0.6954826880246401;-1.0785846039652824;-0.33769935835152864;-0.7221815176308155;-0.3857849631458521;0.14221522389473834
15;2020-09-16;-0.41439528577029705;-0.5380656104534864;-0.9276016615331173;-0.12418492697179317;-0.5153418984264135;-0.39164330810308456;0.16895418009984267
16;2020-11-20;-0.3136774990707636;-0.5527564324438572;-0.9275365620851517;-0.23983120918273926;-0.6157906726002693;-0.3768633119761944;0.15405620446041343
17;2020-12-10;-0.39400747045874596;-0.7047493010759354;-1.0653072036802769;-0.31197106000036;-0.6739551667124033;-0.3631169209256768;0.12671846027433567
18;2021-03-08;-0.4276153165847063;-0.6154254078865051;-0.9755230508744717;-0.1886166399344802;-0.5502607673406601;-0.36232753191143274;0.1280636941012888
19;2021-10-04;-0.46433485113084316;-0.644779996946454;-1.0934499092400074;-0.18128692172467709;-0.6320498883724213;-0.4515815991908312;0.04788122398460461
20;2021-11-30;-0.46823336742818356;-0.7172031328082085;-1.0847127065062523;-0.25014099664986134;-0.6193794775754213;-0.37016442511230707;0.11172890531211205
21;2022-04-21;-0.5576287861913443;-0.7455968298017979;-1.08323460444808;-0.1890220562927425;-0.5285531282424927;-0.34017409197986126;0.17263203995728998
22;2022-10-14;-0.44563449919223785;-0.5498651415109634;-0.9876479394733906;-0.10469722328707576;-0.5444396752864122;-0.4402033518999815;0.1276622817117601
23;2023-08-17;-0.41246390901505947;-0.6675424054265022;-1.0370276868343353;-0.2561349421739578;-0.6271505262702703;-0.37196832709014416;0.09226710036129333
24;2024-04-17;-0.2840688219293952;-0.5852676928043365;-1.081735733896494;-0.30205692164599895;-0.7999392226338387;-0.4993907641619444;0.16141004285008767
25;2024-07-12;-0.32865076791495085;-0.6444149184972048;-0.9680886752903461;-0.3168053459376097;-0.6415463984012604;-0.32577309757471085;0.15425525194324288
26;2024-07-16;-0.35480866208672523;-0.6306575611233711;-1.0452627204358578;-0.27683109510689974;-0.6929125636816025;-0.4172365181148052;0.0834794740986567
