;date;close_ewma_span_1_days;close_ewma_span_2_days;close_ewma_span_3_days;close_ewma_span_5_days
0;2010-01-04;23.300682067871094;;;
1;2010-01-05;23.308204650878903;23.305697123209633;;
2;2010-01-06;23.165172576904297;23.21201409233941;23.23480796813965;
3;2010-01-07;22.92425346374512;23.02017367327655;23.079530715942383;
4;2010-01-08;23.082355499267575;23.061628223937234;23.08094310760498;23.12492323510441
5;2010-01-11;22.78874015808105;22.87970284669978;22.934841632843018;23.01286220942996
6;2010-01-12;22.6381778717041;22.71868619670266;22.78650975227356;22.88796743018801
7;2010-01-13;22.848974227905277;22.80554488417107;22.817741990089417;22.874969696093764
8;2010-01-14;23.308204650878903;23.140651395309625;23.06297332048416;23.019381347688814
9;2010-01-15;23.2329216003418;23.202164865331078;23.14794746041298;23.09056143190648
10;2010-01-19;23.41360664367676;23.343126050894867;23.28077705204487;23.19824316916324
11;2010-01-20;23.0296630859375;23.13415074092329;23.155220068991184;23.142049808087997
12;2010-01-21;22.59300422668457;22.77338639809748;22.874112147837877;22.959034614286857
13;2010-01-22;21.802515029907227;22.12613881930398;22.338313588872552;22.573528086160316
14;2010-01-25;22.073535919189453;22.09107021922763;22.205924754031003;22.406864030503364
15;2010-01-26;22.209047317504883;22.16972161807913;22.207486035767943;22.34092512617054
16;2010-01-27;22.3370361328125;22.28126462790138;22.27226108429022;22.339628795051194
17;2010-01-28;21.95307922363281;22.062474358389;22.112670153961517;22.210778937911734
18;2010-01-29;21.215282440185547;21.497679746253365;21.663976297073532;21.878946772003005
19;2010-02-01;21.388437271118164;21.424851429496563;21.526206784095848;21.715443605041393
20;2010-02-02;21.426084518432617;21.425673488787268;21.476145651264233;21.618990576171804
21;2010-02-03;21.5540771484375;21.51127592855409;21.515111399850866;21.597352766927038
22;2010-02-04;20.95931434631348;21.143301540393683;21.23721287308217;21.384673293389184
23;2010-02-05;21.09482955932617;21.110986886348673;21.16602121620417;21.28805871536818
24;2010-02-08;20.868976593017575;20.94964669079461;21.017498904610875;21.14836467458465
25;2010-02-09;21.087297439575195;21.041413856648333;21.052398172093035;21.128008929581497
26;2010-02-10;21.072248458862305;21.061970258124312;21.06232331547767;21.109422106008434
27;2010-02-11;21.17012023925781;21.134070245546646;21.11622177736774;21.129654817091563
28;2010-02-12;21.027074813842773;21.062739957744064;21.071648295605257;21.0954614826753
29;2010-02-16;21.443078994750977;21.316299315748672;21.257363645178117;21.211333986700527
30;2010-02-17;21.624605178833008;21.521836557804896;21.440984412005562;21.34909105074469
31;2010-02-18;21.91202545166016;21.78196248704174;21.67650493183286;21.536735851049848
32;2010-02-19;21.7607536315918;21.767823250075114;21.71862928171233;21.611408444563835
33;2010-02-22;21.730499267578125;21.742940595077123;21.72456427464523;21.6511053855686
34;2010-02-23;21.427953720092773;21.532949345087555;21.576258997369003;21.576721497076658
35;2010-02-24;21.654857635498047;21.61422153869455;21.615558316433525;21.602766876550454
36;2010-02-25;21.632169723510746;21.62618699523868;21.623864019972135;21.61256782553722
37;2010-02-26;21.68511199951172;21.665470331420707;21.654488009741925;21.636749216862054
38;2010-03-01;21.94984436035156;21.85505301737461;21.802166185046744;21.74111426469189
39;2010-03-02;21.526273727416992;21.63586682406953;21.664219956231868;21.669500752266927
40;2010-03-03;21.526273727416992;21.562804759634506;21.59524684182443;21.621758410650283
41;2010-03-04;21.654857635498047;21.624173343543532;21.62505223866124;21.63279148559954
42;2010-03-05;21.624605178833008;21.62446123373652;21.624828708747124;21.630062716677365
43;2010-03-08;21.654857635498047;21.64472550157754;21.639843172122585;21.638327689617594
44;2010-03-09;21.78344345092773;21.73720413447767;21.711643311525158;21.68669961005431
45;2010-03-10;21.91202545166016;21.853751679265997;21.81183438159266;21.761808223922927
46;2010-03-11;22.07086944580078;21.998496856955853;21.94135191369672;21.864828631215545
47;2010-03-12;22.138946533203125;22.092129974454032;22.040149223449923;21.956201265211405
48;2010-03-15;22.15406608581543;22.13342071536163;22.097107654632676;22.02215620541275
49;2010-03-16;22.21457290649414;22.187522176116637;22.15584028056341;22.086295105773214
50;2010-03-17;22.411226272583008;22.336658240427553;22.28353327657321;22.194605494709812
