;date;open;high;low;volume;close;dividends
0;2010-01-04;23.052241902599633;23.4136091546407;23.029655910867387;38409100;23.300682067871094;0.0
1;2010-01-05;23.2253922362555;23.413604488679056;23.067293197528045;49749600;23.308204650878906;0.0
2;2010-01-06;23.24798502085587;23.39855545049771;22.976960257825024;58182400;23.165172576904297;0.0
3;2010-01-07;23.059765082512616;23.112465720636468;22.72851254426464;50559700;22.924253463745117;0.0
4;2010-01-08;22.79627344571602;23.247981800171548;22.766158789581205;51197400;23.082355499267578;0.0
5;2010-01-11;23.119992692681258;23.157636005212336;22.675813092378913;68754700;22.788740158081055;0.0
6;2010-01-12;22.69840575733631;22.88661807943022;22.517722100439684;65912100;22.6381778717041;0.0
7;2010-01-13;22.781217682892386;22.97695865338007;22.593005376955677;51863500;22.848974227905273;0.0
8;2010-01-14;22.818853081766775;23.413604488679056;22.781211205660277;63228100;23.308204650878906;0.0
9;2010-01-15;23.39854787053634;23.519003600849754;23.1199930967206;79913200;23.232921600341797;0.0
10;2010-01-19;23.150109178842264;23.519005055232288;23.097409973064497;46575700;23.413606643676758;0.0
11;2010-01-20;23.195289435738708;23.29316066112517;22.81886473859811;54849500;23.0296630859375;0.0
12;2010-01-21;23.04471402512408;23.127526459076787;22.585475562516894;73086700;22.59300422668457;0.0
13;2010-01-22;22.585478990843935;22.736049425161326;21.712173918073656;102004600;21.802515029907227;0.0
14;2010-01-25;22.013308047162234;22.32950473429157;21.90790963010103;63373000;22.073535919189453;0.0
15;2010-01-26;21.983193173400032;22.472544776257624;21.900379317120294;66639900;22.209047317504883;0.0
16;2010-01-27;22.096124615205575;22.449963227197507;21.847684433180195;63949500;22.3370361328125;0.0
17;2010-01-28;22.465016831648377;22.487602821159303;21.749809625871514;117513700;21.953079223632812;0.0
18;2010-01-29;22.510182043967262;22.52523936674207;20.82380066371247;193888500;21.215282440185547;0.0
19;2010-02-01;21.37337994839484;21.441136464704453;21.01954148006881;85931100;21.388437271118164;0.0
20;2010-02-02;21.35832942106654;21.456199171435934;21.185173038188857;54413700;21.426084518432617;0.0
21;2010-02-03;21.275523681568654;21.674534370480465;21.170125227720575;61397900;21.5540771484375;0.0
22;2010-02-04;21.365852022214426;21.456194525717624;20.936728361451333;77850000;20.959314346313477;0.0
23;2010-02-05;21.079772234531724;21.29057047381743;20.7560469311787;80960100;21.094829559326172;0.0
24;2010-02-08;21.08730352187786;21.140002729272904;20.756049514893093;52820600;20.868976593017578;0.0
25;2010-02-09;21.057182794923722;21.335737514168674;20.891556557176504;59195800;21.087297439575195;0.0
26;2010-02-10;21.102363115434898;21.260460754603425;20.959321368606805;48591300;21.072248458862305;0.0
27;2010-02-11;21.02707848849403;21.38091709728244;20.85392351627497;65993700;21.170120239257812;0.0
28;2010-02-12;20.936732293373232;21.12494456140126;20.7635773514144;81117200;21.027074813842773;0.0
29;2010-02-16;21.276676755209483;21.458206733374848;21.193477078099296;51935600;21.443078994750977;0.13
30;2010-02-17;21.579223410556683;21.669986947109333;21.450640531556758;45882900;21.624605178833008;0.0
31;2010-02-18;21.624605656020435;21.95740866359835;21.564096149429943;42856500;21.912025451660156;0.0
32;2010-02-19;21.775881369756185;21.874208782503665;21.700244121594768;44451800;21.760753631591797;0.0
33;2010-02-22;21.813700389080534;21.88933764111358;21.669989754483808;36707100;21.730499267578125;0.0
34;2010-02-23;21.692683405809166;21.80613857321313;21.246425163714292;52266200;21.427953720092773;0.0
35;2010-02-24;21.57165797348471;21.77587807986892;21.465765264992733;43165900;21.654857635498047;0.0
36;2010-02-25;21.382567826198176;21.669987624479745;21.19347543603228;48735300;21.632169723510742;0.0
37;2010-02-26;21.669984264405596;21.821258730146386;21.564093003983174;40370600;21.68511199951172;0.0
38;2010-03-01;21.76075197566761;21.972534523210975;21.579223459490265;43805400;21.949844360351562;0.0
39;2010-03-02;21.99522341841849;22.16162417707826;21.359872968757223;93123900;21.526273727416992;0.0
40;2010-03-03;21.56409306528982;21.63973029837525;21.44307406941722;48442100;21.526273727416992;0.0
41;2010-03-04;21.526274765848022;21.669985371376946;21.382565602979398;42890600;21.654857635498047;0.0
42;2010-03-05;21.67755081559879;21.6926785525777;21.496022299833083;56001800;21.624605178833008;0.0
43;2010-03-08;21.57165797348471;21.881769345700604;21.556530237605816;39414500;21.654857635498047;0.0
44;2010-03-09;21.601914923813727;22.017919060777924;21.594351054851415;50271600;21.783443450927734;0.0
45;2010-03-10;21.828825781761005;22.017918170188842;21.78344256982281;44891400;21.912025451660156;0.0
46;2010-03-11;21.851521526718294;22.078433316389226;21.821267487025317;35349700;22.07086944580078;0.0
47;2010-03-12;22.17676444979598;22.222146238239606;21.964981808618347;31700200;22.138946533203125;0.0
48;2010-03-15;22.070864968880105;22.214575595588254;21.94228208028029;37512000;22.15406608581543;0.0
49;2010-03-16;22.252390804526573;22.30533643883611;22.085990033459396;36723500;22.21457290649414;0.0
50;2010-03-17;22.312898878397863;22.592756210965224;22.237261644515314;50385700;22.411226272583008;0.0
51;2010-03-18;22.41122729126067;22.47930066058314;22.31289989260616;43845200;22.396100997924805;0.0
52;2010-03-19;22.509558608054302;22.615449886352245;22.19944719932993;81332100;22.3809757232666;0.0
53;2010-03-22;22.3128992182126;22.464173688281537;22.22969811540866;37718200;22.38853645324707;0.0
54;2010-03-23;22.38097251471129;22.61544664418252;22.24482578061178;42026600;22.600318908691406;0.0
55;2010-03-24;22.479300996054913;22.57762983883715;22.388537464043974;33987700;22.426355361938477;0.0
56;2010-03-25;22.56250550624114;23.122218846944243;22.53981389848514;73168700;22.698652267456055;0.0
57;2010-03-26;22.759157096894047;22.842358198889727;22.380972368055875;55595500;22.433917999267578;0.0
58;2010-03-29;22.471739263904706;22.554940378373356;22.350720247946924;33336000;22.3809757232666;0.0
